id,name,alias,iata_code,icao_code,callsign,country,active
1807,Clay Lacy Aviation,Unknown,Unknown,CLY,CLAY-LACY,United States,N
1808,Click Airways,Unknown,Unknown,CGK,CLICK AIR,Kyrgyzstan,Y
1809,Cloud 9 Air Charters,Unknown,Unknown,CLZ,CLOUDLINE,South Africa,N
1810,Clowes Estates Limited,Unknown,Unknown,CLD,CLOWES,United Kingdom,N
1811,Club 328,Unknown,Unknown,SDJ,SPACEJET,United Kingdom,N
1812,Club Air,Unknown,6P,ISG,CLUBAIR,Italy,N
1813,Coast Air,Unknown,BX,CST,COAST CENTER,Norway,N
1814,Coastal Air,Unknown,DQ,Unknown,U.S. Virgin Islands,United States,Y
1815,Coastal Air Transport,Unknown,Unknown,TCL,TRANS COASTAL,United States,N
1816,Coastal Airways,Unknown,Unknown,CNG,SID-AIR,United States,N
1817,Coastal Travels,Unknown,Unknown,CSV,COASTAL TRAVEL,Tanzania,N
1818,Cohlmia Aviation,Unknown,Unknown,CHL,COHLMIA,United States,N
1819,Colaereos,Unknown,Unknown,OLR,COLAEREOS,Ecuador,N
1820,Colemill Enterprises,Unknown,Unknown,CLE,COLEMILL,United States,N
1821,Colgan Air,Unknown,9L,CJC,COLGAN,United States,Y
1822,Colibri Aviation,Unknown,Unknown,CAE,HUMMINGBIRD,Canada,N
1823,Colt International,Unknown,Unknown,CCX,Unknown,United States,N
1824,Columbia Airlines,Unknown,Unknown,COL,COLAIR,Canada,N
1825,Columbia Helicopters,Unknown,Unknown,WCO,COLUMBIA HELI,United States,N
1826,Columbus Air Transport,Unknown,Unknown,KLR,KAY-LER,United States,N
1827,Colvin Aviation,Unknown,Unknown,GHP,GRASSHOPPER EX,United States,N
1828,Comair,Unknown,OH,COM,COMAIR,United States,Y
1829,Comair,Unknown,MN,CAW,COMMERCIAL,South Africa,Y
1830,Comed Group,Unknown,Unknown,CDE,COMEX,United Kingdom,N
1831,Comeravia,Unknown,Unknown,CVV,COMERAVIA,Venezuela,N
1832,Comercial Aerea,Unknown,Unknown,CRS,COMERCIAL AEREA,Mexico,N
1833,Comet Airlines,Unknown,Unknown,CMG,SUNSPY,Nigeria,N
1834,Comfort Air,Unknown,Unknown,FYN,FLYNN,Germany,N
1835,Comlux Aviation,Unknown,Unknown,CLA,COMLUX,Switzerland,N
1836,Commair Aviation,Unknown,Unknown,CMH,COMMODORE,United Kingdom,N
1837,Commandement Du Transport Aerien Militaire Francais,Unknown,Unknown,CTM,COTAM,France,N
1838,Commander Air Charter,Unknown,Unknown,CML,COMMANDAIR,Canada,N
1839,Commander Mexicana,Unknown,Unknown,CRM,COMMANDERMEX,Mexico,N
1840,Commercial Aviation,Unknown,Unknown,CMS,ACCESS,Canada,N
1841,Commodore Aviation,Unknown,Unknown,GAR,Unknown,Australia,N
1842,Commonwealth Jet Service,Unknown,Unknown,CJS,COMMONWEALTH,United States,N
1843,CommutAir,Unknown,C5,UCA,COMMUTAIR,United States,Y
1844,Comores Airlines,Unknown,KR,CWK,CONTICOM,Comoros,Y
1845,Compagnia Generale Ripreseaeree,Unknown,Unknown,CGR,COMPRIP,Italy,N
1846,Compagnie Aerienne du Mali,Unknown,Unknown,CMM,CAMALI,Mali,N
1847,Compagnie Mauritanienne Des Transports,Unknown,Unknown,CPM,Unknown,Mauritania,N
1848,Compagnie de Bauxites de Guinee,Unknown,Unknown,GIC,CEBEGE,Guinea,N
1849,Compania Aerea de Valencia,Unknown,Unknown,AIF,Unknown,Spain,N
1850,Compania Aerotecnicas Fotograficas,Unknown,Unknown,ATF,AEROTECNICAS,Spain,N
1851,Compania Boliviana de Transporte Aereo Privado Aerosur,Unknown,Unknown,ASU, S.A.,Asur,N
1852,Compania De Actividades Y Servicios De Aviacion,Unknown,Unknown,LCT,STELLAIR,Spain,N
1853,Compania Ejecutiva,Unknown,Unknown,EJV,EJECUTIVA,Mexico,N
1854,Compania Helicopteros Del Sureste,Unknown,Unknown,HSE,HELISURESTE,Spain,N
1855,Compania Mexicana De Aeroplanos,Unknown,Unknown,MDR,AEROPLANOS,Mexico,N
1856,Compania Mexicargo,Unknown,GJ,MXC,MEXICARGO,Mexico,N
1857,Compania Transportes Aereos Del Sur,Unknown,Unknown,HSS,TAS HELICOPTEROS,Spain,N
1858,Compania de Servicios Aereos Tavisa,Unknown,Unknown,TAV,TAVISA,Spain,N
1859,Company Flight,Unknown,Unknown,CYF,COMPANY FLIGHT,Denmark,N
1860,Compass Airlines,Unknown,CP,CPZ,Compass Rose,United States,Y
1861,Compass International Airways,Unknown,Unknown,CPS,COMPASS,United Kingdom,N
1862,Compuflight Operations Service,Unknown,Unknown,XCO,Unknown,United States,N
1863,Compuserve Incorporated,Unknown,Unknown,XCS,Unknown,United States,N
1864,Conair Aviation,Unknown,Unknown,CRC,CONAIR-CANADA,Canada,N
1865,Concordavia,Unknown,Unknown,COD,CONCORDAVIA,Ukraine,N
1866,Condor Aero Services,Unknown,Unknown,CNR,CONAERO,United States,N
1867,Condor,Unknown,Unknown,CIB,CONDOR BERLIN,Germany,N
1868,Condor Flugdienst,Unknown,DE,CFG,CONDOR,Germany,Y
1869,Confort Air,Unknown,Unknown,COF,CONFORT,Canada,N
1870,Congo Air,Unknown,Unknown,CAK,Unknown,Bahamas,N
1871,Congressional Air,Unknown,Unknown,CGA,CONGRESSIONAL,United States,N
1872,Conifair Aviation,Unknown,Unknown,ROY,Unknown,Canada,N
1873,Connectair Charters,Unknown,Unknown,BSN,BASTION,Canada,N
1874,Conquest Airlines,Unknown,Unknown,CAC,CONQUEST AIR,United States,N
1875,Conroe Aviation Services,Unknown,Unknown,CXO,CONROE AIR,United States,N
1876,Consorcio Aviaxsa,Unknown,6A,CHP,AVIACSA,Mexico,Y
1877,Consorcio Helitec,Unknown,Unknown,VCH,CONSORCIO HELITEC,Venezuela,N
1878,Constanta Airline,Unknown,Unknown,UZA,CONSTANTA,Ukraine,N
1879,Contact Air,Contactair,C3,KIS,CONTACTAIR,Germany,Y
1880,Contel ASC,Unknown,Unknown,XCL,Unknown,United States,N
1881,Continental Airlines,Unknown,CO,COA,CONTINENTAL,United States,Y
1882,Continental Airways,Unknown,PC,PVV,CONTAIR,Russia,N
1883,Continental Express,Unknown,CO,Unknown,JETLINK,United States,Y
1884,Continental Micronesia,Unknown,CS,CMI,AIR MIKE,United States,Y
1885,Continental Oil,Unknown,Unknown,CON,CONOCO,United States,N
1886,Conviasa,Unknown,V0,VCV,CONVIASA,Venezuela,Y
1887,Cook Inlet Aviation,Unknown,Unknown,CKA,COOK-AIR,United States,N
1888,Cooper Aerial Surveys,Unknown,Unknown,SVY,SURVEYOR,United Kingdom,N
1889,Copa Airlines,Unknown,CM,CMP,COPA,Panama,Y
1890,Copenhagen Airtaxi,Unknown,Unknown,CAT,AIRCAT,Denmark,N
1891,Copper State Air Service,Unknown,Unknown,COP,COPPER STATE,United States,N
