id,name,alias,iata_code,icao_code,callsign,country,active
3010,Jet East International,Unknown,Unknown,JED,JET EAST,United States,N
3011,Jet Executive International Charter,Unknown,Unknown,JEI,JET EXECUTIVE,Germany,N
3012,Jet Fighter Flights,Unknown,Unknown,RZA,RAZOR,Australia,N
3013,Jet Freighters,Unknown,Unknown,CFT,CASPER FREIGHT,United States,N
3014,Jet G&D Aviation,Unknown,Unknown,JGD,JET GEE-AND-DEE,Israel,N
3015,Jet Line International,Unknown,Unknown,MJL,MOLDJET,Moldova,N
3016,Jet Link,Unknown,Unknown,JEK,JET OPS,Israel,N
3017,Jet Link Aviation,Unknown,Unknown,HTL,HEARTLAND,United States,N
3018,Jet Norte,Unknown,Unknown,JNR,JET NORTE,Mexico,N
3019,Jet Rent,Unknown,Unknown,JRN,JET RENT,Mexico,N
3020,Jet Service,Unknown,Unknown,JDI,JEDI,Poland,N
3021,Jetstar Asia Airways,Unknown,3K,JSA,JETSTAR ASIA,Singapore,Y
3022,Jet Stream,Unknown,Unknown,JSM,JET STREAM,Moldova,N
3023,Jet Trans Aviation,Unknown,Unknown,JTC,JETRANS,Ghana,N
3024,Jet-2000,Unknown,Unknown,JTT,MOSCOW JET,Russia,N
3025,Jet-Ops,Unknown,Unknown,OPS,OPS-JET,United Arab Emirates,N
3026,Jet2.com,Unknown,LS,EXS,CHANNEX,United Kingdom,Y
3027,Jet4You,Unknown,8J,JFU,ARGAN,Morocco,Y
3028,JetAfrica Swaziland,Unknown,Unknown,OSW,BEVO,Swaziland,N
3029,JetBlue Airways,Unknown,B6,JBU,JETBLUE,United States,Y
3030,JetConnect,Unknown,Unknown,QNZ,QANTAS JETCONNECT,New Zealand,N
3031,JetMagic,Unknown,Unknown,JMG,JET MAGIC,Ireland,N
3032,Jetairfly,Unknown,JF,JAF,BEAUTY,Belgium,Y
3033,Jetall Holdings,Unknown,Unknown,JTL,FIREFLY,Canada,N
3034,Jetalliance,Unknown,Unknown,JAG,JETALLIANCE,Austria,N
3035,Jetclub,Unknown,0J,JCS,JETCLUB,Switzerland,N
3036,Jetcorp,Unknown,Unknown,UEJ,JETCORP,United States,N
3037,Jetcraft Aviation,Unknown,Unknown,JCC,JETCRAFT,Australia,N
3038,Jetex Aviation,Unknown,Unknown,JXA,Unknown,Lebanon,N
3039,Jetflite,Unknown,Unknown,JEF,JETFLITE,Finland,Y
3040,Jetfly Airlines,Unknown,Unknown,JFL,LINEFLYER,Austria,N
3041,Jetgo International,Unknown,Unknown,JIC,JIC-JET,Thailand,N
3042,Jetlink Express,Unknown,Unknown,JLX,KEN JET,Kenya,N
3043,Jetlink Holland,Unknown,Unknown,JLH,Unknown,Netherlands,N
3044,Jetnova de Aviacion Ejecutiva,Unknown,Unknown,JNV,JETNOVA,Spain,N
3045,Jetpro,Unknown,Unknown,JPO,JETPRO,Mexico,N
3046,Jetran Air,Unknown,Unknown,MDJ,JETRAN AIR,Romania,N
3047,Jetrider International,Unknown,Unknown,JRI,JETRIDER,United Kingdom,N
3048,Jets Ejecutivos,Unknown,Unknown,JEJ,MEXJETS,Mexico,N
3049,Jets Personales,Unknown,Unknown,JEP,JET PERSONALES,Spain,N
3050,Jets Y Servicios Ejecutivos,Unknown,Unknown,JSE,SERVIJETS,Mexico,N
3051,JetsGo,Unknown,SG,JGO,JETSGO,Canada,N
3052,Jetstar Airways,Unknown,JQ,JST,JETSTAR,Australia,Y
3053,Jetstream Air,Unknown,Unknown,JSH,STREAM-AIR,Hungary,N
3054,Jetstream Executive Travel,Unknown,Unknown,JXT,VANNIN,United Kingdom,N
3055,Jett Paqueteria,Unknown,Unknown,JPQ,JETT PAQUETERIA,Mexico,N
3056,Jett8 Airlines Cargo,Unknown,JX,JEC,Unknown,Singapore,N
3057,Jettime,Unknown,Unknown,JTG,JETTIME,Denmark,N
3058,Jettrain Corporation,Unknown,Unknown,JTN,JETTRAIN,United States,N
3059,Jetways of Iowa,Unknown,Unknown,JWY,JETWAYS,United States,N
3060,Jetx Airlines,Unknown,GX,JXX,JETBIRD,Iceland,N
3061,Jibair,Unknown,Unknown,JIB,JIBAIRLINE,Djibouti,N
3062,Jigsaw Project,Unknown,Unknown,JSW,JIGSAW,United Kingdom,N
3063,Jim Hankins Air Service,Unknown,Unknown,HKN,HANKINS,United States,N
3064,Jim Ratliff Air Service,Unknown,Unknown,RAS,SHANHIL,United States,N
3065,Joanas Avialinijos,Unknown,Unknown,JDG,LADYBLUE,Lithuania,N
3066,Job Air,Unknown,Unknown,JBR,JOBAIR,Czech Republic,N
3067,Johnson Air,Unknown,Unknown,JHN,AIR JOHNSON,United States,N
3068,Johnsons Air,Unknown,Unknown,JON,JOHNSONSAIR,Ghana,N
3069,Johnston Airways,Unknown,Unknown,JMJ,JOHNSTON,United States,N
3070,Joint Military Commission,Unknown,Unknown,JMM,JOICOMAR,Sudan,N
3071,Jomartaxi Aereo,Unknown,Unknown,JMT,JOMARTAXI,Mexico,N
3072,Jonsson,Unknown,Unknown,ODI, H Air Taxi,Odinn,N
3073,Jordan Aviation,Unknown,R5,JAV,JORDAN AVIATION,Jordan,N
3074,Jordan International Air Cargo,Unknown,Unknown,JCI,Unknown,Jordan,N
3075,Jorvik,Unknown,Unknown,JVK,ISLANDIC,Iceland,N
3076,Ju-Air,Unknown,Unknown,JUR,JUNKERS,Switzerland,N
3077,Juanda Flying School,Unknown,Unknown,JFS,JAEMCO,Indonesia,N
3078,Juba Cargo Services & Aviation Company,Unknown,Unknown,JUC,JUBA CARGO,Sudan,N
3079,Jubba Airways,Unknown,Unknown,JUB,JUBBA,Somali Republic,N
3080,Jubilee Airways,Unknown,Unknown,DKE,DUKE,United Kingdom,N
3081,Juneyao Airlines,Unknown,HO,DKH,JUNEYAO AIRLINES,China,Y
3082,Justair Scandinavia,Unknown,Unknown,MEY,MELODY,Sweden,N
3083,Justice Prisoner and Alien Transportation System,Unknown,Unknown,DOJ,JUSTICE,United States,N
3084,K D Air Corporation,Unknown,Unknown,KDC,KAY DEE,Canada,N
3085,K S Avia,Unknown,Unknown,KSA,SKY CAMEL,Latvia,N
3086,K-Mile Air,Unknown,Unknown,KMI,KAY-MILE AIR,Thailand,N
3087,KD Avia,Unknown,KD,KNI,KALININGRAD AIR,Russia,Y
3088,KLM Cityhopper,Unknown,WA,KLC,CITY,Netherlands,Y
3089,KLM Helicopter,Unknown,Unknown,KLH,KLM HELI,Netherlands,N
3090,KLM Royal Dutch Airlines,Unknown,KL,KLM,KLM,Netherlands,Y
3091,Kabo Air,Unknown,N2,QNK,KABO,Nigeria,N
3092,Kahama Mining Corporation,Unknown,Unknown,KMC,KAHAMA,Tanzania,N
3093,Kaiser Air,Unknown,Unknown,KAI,KAISER,United States,N
3094,Kalitta Air,Unknown,K4,CKS,CONNIE,United States,N
3095,Kalitta Charters,Unknown,Unknown,KFS,KALITTA,United States,N
3096,Kallat El Saker Air Company,Unknown,Unknown,KES,KALLAT EL SKER,Libya,N
3097,Kam Air,Unknown,RQ,KMF,KAMGAR,Afghanistan,Y
3098,Kampuchea Airlines,Unknown,E2,KMP,KAMPUCHEA,Cambodia,N
3099,Kanaf-Arkia Airlines,Unknown,Unknown,KIZ,Unknown,Israel,N
3100,Kanfey Ha'emek Aviation,Unknown,Unknown,KHE,KANFEY HAEMEK,Israel,N
3101,Kansas State University,Unknown,Unknown,KSU,K-STATE,United States,N
3102,Karat,Unknown,V2,AKT,AVIAKARAT,Russia,N
3103,Karibu Airways Company,Unknown,Unknown,KRB,KARIBU AIR,Tanzania,N
3104,Karlog Air Charter,Unknown,Unknown,KLG,KARLOG,Denmark,N
3105,Karthago Airlines,Unknown,Unknown,KAJ,KARTHAGO,Tunisia,N
3106,Kartika Airlines,Unknown,Unknown,KAE,KARTIKA,Indonesia,N
3107,Kata Transportation,Unknown,Unknown,KTV,KATAVIA,Sudan,N
3108,Katekavia,Unknown,Unknown,KTK,KATEKAVIA,Russia,N
3109,Kato Airline,Unknown,Unknown,KAT,KATO-AIR,Norway,N
3110,Kavminvodyavia,Unknown,KV,MVD,AIR MINVODY,Russia,Y
3111,Kavouras Inc,Unknown,Unknown,XKA,Unknown,United States,N
3112,Kaz Agros Avia,Unknown,Unknown,KRN,ANTOL,Kazakhstan,N
3113,Kaz Air West,Unknown,Unknown,KAW,KAZWEST,Kazakhstan,N
3114,Kazan Aviation Production Association,Unknown,Unknown,KAO,KAZAVAIA,Russia,N
3115,Kazan Helicopters,Unknown,Unknown,KPH,KAMA,Russia,N
3116,Kazavia,Unknown,Unknown,KKA,KAKAIR,Kazakhstan,N
3117,Kazaviaspas,Unknown,Unknown,KZS,SPAKAZ,Kazakhstan,N
3118,Keenair Charter -,Unknown,Unknown,JFK,KEENAIR,United Kingdom,N
3119,Kelix Air,Unknown,Unknown,KLX,KELIX,Nigeria,N
3120,Kelner Airways,Unknown,Unknown,FKL,KELNER,Canada,N
3121,Kelowna Flightcraft Air Charter,Unknown,Unknown,KFA,FLIGHTCRAFT,Canada,N
3122,Kendell Airlines,Unknown,Unknown,KDA,KENDELL,Australia,Y
3123,Kenmore Air,Unknown,M5,KEN,KENMORE,United States,Y
3124,Kenn Borek Air,Unknown,Unknown,KBA,BOREK AIR,Canada,N
3125,Kent Aviation,Unknown,Unknown,KAH,DEKAIR,Canada,N
3126,Kenya Airways,Unknown,KQ,KQA,KENYA,Kenya,Y
3127,Kevis,Unknown,Unknown,KVS,KEVIS,Kazakhstan,N
3128,Key Airlines,Unknown,Unknown,KEY,KEY AIR,United States,N
3129,Key Lime Air,Unknown,Unknown,LYM,KEY LIME,United States,N
3130,Keystone Aerial Surveys,Unknown,Unknown,FTP,FOOTPRINT,United States,N
3131,Keystone Air Services,Unknown,BZ,KEE,KEYSTONE,Canada,N
3132,Khalifa Airways,Unknown,Unknown,KZW,KHALIFA AIR,Algeria,N
3133,Kharkov Aircraft Manufacturing Company,Unknown,Unknown,WKH,WEST-KHARKOV,Ukraine,N
3134,Khazar,Unknown,Unknown,KHR,KHAZAR,Turkmenistan,N
3135,Khoezestan Photros Air Lines,Unknown,Unknown,KHP,PHOTROS AIR,Iran,N
3136,Khoriv-Avia,Unknown,Unknown,KRV,KHORIV-AVIA,Ukraine,N
3137,Khors Aircompany,Unknown,Unknown,KHO,AIRCOMPANY KHORS,Ukraine,N
3138,Khyber Afghan Airlines,Unknown,Unknown,KHY,KHYBER,Afghanistan,N
3139,Kiev Aviation Plant,Unknown,Unknown,UAK,AVIATION PLANT,Ukraine,N
3140,King Aviation,Unknown,Unknown,KNG,KING,United Kingdom,N
3141,Kingfisher Air Services,Unknown,Unknown,BEZ,SEA BREEZE,United States,N
3142,Kingfisher Airlines,Unknown,IT,KFR,KINGFISHER,India,Y
3143,Knighthawk Air Express,Unknown,Unknown,KNX,KNIGHT FLIGHT,Canada,N
3144,Kingston Air Services,Unknown,Unknown,KAS,KINGSTON AIR,Canada,N
3145,Kinnarps,Unknown,Unknown,KIP,KINNARPS,Sweden,N
3146,Kinshasa Airways,Unknown,Unknown,KNS,KINSHASA AIRWAYS,Democratic Republic Of The Congo,N
3147,Kirov Air Enterprise,Unknown,Unknown,KTA,VYATKA-AVIA,Russia,N
3148,Kish Air,Unknown,Y9,IRK,KISHAIR,Iran,Y
3149,Kitty Hawk Aircargo,Unknown,Unknown,KHA,AIR KITTYHAWK,United States,N
3150,Kitty Hawk Airways,Unknown,Unknown,KHC,CARGO HAWK,United States,N
3151,Kiwi International Air Lines,Unknown,KP,KIA,KIWI AIR,United States,N
3152,Knight Air,Unknown,Unknown,KNA,KNIGHTAIR,Canada,N
3153,Knighthawk Express,Unknown,Unknown,KHX,RIZZ,United States,N
3154,Knights Airlines,Unknown,Unknown,KGT,KNIGHT-LINER,Nigeria,N
3155,Koanda Avacion,Unknown,Unknown,KOA,KOANDA,Spain,N
3156,Koda International,Unknown,Unknown,OYE,KODA AIR,Nigeria,N
3157,Kogalymavia Air Company,Unknown,7K,KGL,KOGALYM,Russia,Y
3158,Kom Activity,Unknown,Unknown,KOM,COMJET,Netherlands,N
3159,Komiaviatrans State Air Enterprise,Unknown,Unknown,KMA,KOMI AVIA,Russia,N
3160,Komiinteravia,Unknown,8J,KMV,KOMIINTER,Russia,N
3161,Komsomolsk-on-Amur Air Enterprise,Unknown,Unknown,KNM,KNAAPO,Russia,N
3162,Koob-Corp - 96 KFT,Unknown,Unknown,KOB,AUTOFLEX,Hungary,N
3163,Korean Air,Unknown,KE,KAL,KOREANAIR,Republic Of Korea,Y
3164,Kosmas Air,Unknown,Unknown,KMG,KOSMAS CARGO,Serbia,N
3165,Kosmos,Unknown,Unknown,KSM,KOSMOS,Russia,Y
3166,Kosova Airlines,Unknown,Unknown,KOS,KOSOVA,Serbia,N
3167,Kovar Air,Unknown,Unknown,WOK,WOKAIR,Czech Republic,N
3168,Krasnojarsky Airlines,Unknown,7B,KJC,KRASNOJARSKY AIR,Russia,Y
3169,Kremenchuk Flight College,Unknown,Unknown,KFC,KREMENCHUK,Ukraine,N
3170,Krimaviamontag,Unknown,Unknown,KRG,AVIAMONTAG,Ukraine,N
3171,Kroonk Air Agency,Unknown,Unknown,KRO,KROONK,Ukraine,N
3172,Krylo Airlines,Unknown,K9,KRI,Krylo,Russia,N
3173,Krym,Unknown,Unknown,KYM,CRIMEA AIR,Ukraine,N
3174,Krystel Air Charter,Unknown,Unknown,OPC,OPTIC,United Kingdom,N
3175,Kuban Airlines,Unknown,GW,KIL,AIR KUBAN,Russia,Y
3176,Kunpeng Airlines,Unknown,VD,KPA,KUNPENG,China,N
3177,Kurzemes Avio,Unknown,Unknown,KZA,Unknown,Russia,N
3178,Kustbevakningen,Unknown,Unknown,KBV,SWECOAST,Sweden,N
3179,Kuwait Airways,Unknown,KU,KAC,KUWAITI,Kuwait,Y
3180,Kuzu Airlines Cargo,Unknown,GO,KZU,KUZU CARGO,Turkey,Y
3181,Kvadro Aero,Unknown,Unknown,QVR,PEGASO,Kyrgyzstan,N
3182,Kwena Air,Unknown,Unknown,KWN,KWENA,South Africa,N
3183,Kyrgyz Airlines,Unknown,N5,KGZ,BERMET,Kyrgyzstan,N
3184,Kyrgyz Trans Avia,Unknown,Unknown,KTC,DINARA,Kyrgyzstan,N
3185,Kyrgyzstan,Unknown,QH,LYN,ALTYN AVIA,Kyrgyzstan,N
3186,Kyrgyzstan Airlines,Unknown,R8,KGA,KYRGYZ,Kyrgyzstan,N
3187,Kyrgyzstan Department of Aviation,Unknown,Unknown,DAM,FLIGHT RESCUE,Kyrgyzstan,N
3188,Kyrgz General Aviation,Unknown,Unknown,KGB,KEMIN,Kyrgyzstan,N
3189,Kibris T,Unknown,KY,KYV,AIRKIBRIS,Turkey,N
3190,L A Helicopter,Unknown,Unknown,LAH,STAR SHIP,United States,N
3191,L J Aviation,Unknown,Unknown,LJY,ELJAY,United States,N
3192,L R Airlines,Unknown,Unknown,LRB,LADY RACINE,Czech Republic,N
3193,L&L Flygbildteknik,Unknown,Unknown,PHO,PHOTOFLIGHT,Sweden,N
3194,L'Express,Unknown,Unknown,LEX,LEX,United States,N
3195,L-3 Communications Flight Internation Aviation,Unknown,Unknown,FNT,FLIGHT INTERNATIONAL,United States,N
3196,L.A.B. Flying Service,Unknown,JF,LAB,LAB,United States,N
3197,LACSA,Unknown,LR,LRC,LACSA,Costa Rica,Y
3198,LADE - Lineas Aereas Del Estado,Unknown,Unknown,LDE,LADE,Argentina,N
3199,LAI - Linea Aerea IAACA,Unknown,KG,BNX,AIR BARINAS,Venezuela,N
3200,LAN Airlines,Unknown,LA,LAN,LAN,Chile,Y
3201,LAN Argentina,Unknown,4M,DSM,LAN AR,Argentina,Y
3202,LAN Cargo,Unknown,Unknown,LCO,LAN CARGO,Chile,N
3203,LAN Dominica,Unknown,Unknown,LNC,LANCANA,Dominican Republic,N
3204,LAN Express,Unknown,LU,LXP,LANEX,Chile,Y
3205,LAN Peru,Unknown,LP,LPE,LANPERU,Peru,Y
3206,LANSA,Unknown,Unknown,LSA,INTERNACIONAL,Dominican Republic,N
3207,LAP Colombia - Lineas Aereas Petroleras,Unknown,Unknown,APT, S.A.,Lap,N
3208,LASTP,Unknown,Unknown,OTN,LASTP,S,N
3209,LC Busre,Unknown,Unknown,LCB,BUSRE,Peru,N
3210,LOT Polish Airlines,Unknown,LO,LOT,POLLOT,Poland,Y
3211,LTE International Airways,Unknown,XO,LTE,FUN JET,Spain,Y
3212,LTU Austria,Unknown,L3,LTO,BILLA TRANSPORT,Austria,Y
3213,LTU International,Unknown,LT,LTU,LTU,Germany,N
3214,LTV Jet Fleet Corporation,Unknown,Unknown,JFC,JET-FLEET,United States,N
3215,LUKoil-Avia,Unknown,Unknown,LUK,LUKOIL,Russia,N
3216,La Ronge Aviation Services,Unknown,Unknown,ASK,AIR SASK,Canada,N
3217,La Valenciana Taxi Aereo,Unknown,Unknown,LVT,TAXIVALENCIANA,Mexico,N
3218,Labcorp,Unknown,Unknown,SKQ,SKYLAB,United States,N
3219,Labrador Airways,Unknown,Unknown,LAL,LAB AIR,Canada,N
3220,Lagun Air,Unknown,N6,JEV,Unknown,Spain,N
3221,Lake Havasu Air Service,Unknown,Unknown,HCA,HAVASU,United States,N
3222,Lakeland Aviation,Unknown,Unknown,LKL,LAKELAND,United States,N
3223,Laker Airways,Unknown,Unknown,LKR,LAKER,United States,N
3224,Laker Airways (Bahamas),Unknown,Unknown,LBH,LAKER BAHAMAS,United States,N
3225,Lamra,Unknown,Unknown,LMR,LAMAIR,Sudan,N
3226,Lanaes Aereas Trans Costa Rica,Unknown,Unknown,TCR,TICOS,Costa Rica,N
3227,Landsflug,Unknown,Unknown,ISL,ISLANDIA,Iceland,N
3228,Langtry Flying Group,Unknown,Unknown,PAP,PROFLIGHT,United Kingdom,N
3229,Lankair,Unknown,IK,LKN,Lankair,Sri Lanka,N
3230,Lanza Air,Unknown,Unknown,LZA,AEROLANZA,Spain,N
3231,Lanzarote Aerocargo,Unknown,Unknown,LZT,BARAKA,Spain,N
3232,Lao Air Company,Unknown,Unknown,LLL,LAVIE,Lao Peoples Democratic Republic,N
3233,Lao Airlines,Unknown,QV,LAO,LAO,Lao Peoples Democratic Republic,Y
3234,Lao Capricorn Air,Unknown,Unknown,LKA,NAKLOA,Lao Peoples Democratic Republic,N
3235,Laoag International Airlines,Unknown,L7,LPN,LAOAG AIR,Philippines,N
3236,Laredo Air,Unknown,Unknown,LRD,LAREDO AIR,United States,N
3237,LatCharter,Unknown,Unknown,LTC,LATCHARTER,Latvia,Y
3238,Latvian Air Force,Unknown,Unknown,LAF,LATVIAN AIRFORCE,Latvia,N
3239,Lauda Air,Unknown,NG,LDA,LAUDA AIR,Austria,Y
3240,Lauda Air Italy,Unknown,Unknown,LDI,LAUDA ITALY,Italy,N
3241,Laughlin Express,Unknown,Unknown,LEP,LAUGHLIN EXPRESS,United States,N
3242,Laus,Unknown,Unknown,LSU,LAUS AIR,Croatia,N
3243,Lawrence Aviation,Unknown,Unknown,LAR,LAWRENCE,United States,N
3244,Layang-Layang Aerospace,Unknown,Unknown,LAY,LAYANG,Malaysia,N
3245,Lease-a-Plane International,Unknown,Unknown,LPL,LEASE-A-PLANE,United States,N
3246,Lebanese Air Transport,Unknown,LQ,LAQ,LAT,Lebanon,N
3247,Lebanese Air Transport (Charter),Unknown,Unknown,LAT,LEBANESE AIR,Lebanon,N
3248,Lebanon Airport Development Corporation,Unknown,Unknown,LAD,LADCO-AIR,United States,N
3250,Leconte Airlines,Unknown,Unknown,LCA,LECONTE,United States,N
3251,Leeward Islands Air Transport,Unknown,LI,LIA,LIAT,Antigua And Barbuda,Y
3252,Legend Airlines,Unknown,Unknown,LGD,LEGENDARY,United States,N
3253,Leisure Air,Unknown,Unknown,LWD,LEISURE WORLD,United States,N
3254,Lentini Aviation,Unknown,Unknown,LEN,LENTINI,United States,N
3255,Leo-Air,Unknown,Unknown,LOR,LEO CHARTER,South Africa,N
3256,Leonsa De Aviacion,Unknown,Unknown,LEL,LEONAVIA,Spain,N
3257,Libyan Airlines,Unknown,Unknown,LYW,LIBYAN AIRWAYS,Libya,N
3258,Libyan Arab Airlines,Unknown,LN,LAA,LIBAIR,Libya,Y
3259,Libyan Arab Air Cargo,Unknown,Unknown,LCR,LIBAC,Libya,N
3260,Lid Air,Unknown,Unknown,LIQ,Unknown,Sweden,N
3261,Lignes Aeriennes Congolaises,Unknown,Unknown,LCG,CONGOLAISE,Democratic Republic Of The Congo,N
3262,Lignes Aeriennes Du Tchad,Unknown,Unknown,LKD,LATCHAD,Chad,N
3263,Lignes Mauritaniennes Air Express,Unknown,Unknown,LME,LIMAIR EXPRESS,Mauritania,N
3264,Lignes Nationales Aeriennes - Linacongo,Unknown,Unknown,GCB,LINACONGO,Republic Of The Congo,N
3265,Lincoln Air National Guard,Unknown,Unknown,GDQ,Unknown,United States,N
3266,Lincoln Airlines,Unknown,Unknown,LRT,Unknown,Australia,N
3267,Lindsay Aviation,Unknown,Unknown,LSY,LINDSAY AIR,United States,N
3268,Linea Aerea Costa Norte,Unknown,Unknown,NOT,COSTA NORTE,Chile,N
3269,Linea Aerea Mexicana de Carga,Unknown,Unknown,LMC,LINEAS DECARGA,Mexico,N
3270,Linea Aerea SAPSA,Unknown,L7,LNP,SAPSA,Chile,N
3271,Linea Aerea de Fumig Aguas Negras,Unknown,Unknown,NEG,AGUAS NEGRAS,Chile,N
3272,Linea Aerea de Servicio Ejecutivo Regional,Unknown,8Z,LER,LASER,Venezuela,N
3273,Linea De Aeroservicios,Unknown,Unknown,LSE,Unknown,Chile,N
3274,Linea Turistica Aerotuy,Unknown,LD,TUY,AEREOTUY,Venezuela,N
3275,Lineas Aereas Alaire S.L.,Unknown,Unknown,ALR,AEROLAIRE,Spain,N
3276,Lineas Aereas Azteca,Unknown,ZE,LCD,LINEAS AZTECA,Mexico,N
3277,Lineas Aereas Canedo LAC,Unknown,Unknown,LCN,CANEDO,Bolivia,N
3278,Lineas Aereas Comerciales,Unknown,Unknown,LCM,LINEAS COMERCIALES,Mexico,N
3279,Lineas Aereas Ejectuivas De Durango,Unknown,Unknown,EDD,LINEAS DURANGO,Mexico,N
3280,Lineas Aereas Eldorado,Unknown,Unknown,EDR,ELDORADRO,Colombia,N
3281,Lineas Aereas Federales,Unknown,Unknown,FED,FEDERALES,Argentina,N
3282,Lineas Aereas Monarca,Unknown,Unknown,LMN,LINEAS MONARCA,Mexico,N
3283,Lineas Aereas San Jose,Unknown,Unknown,LIJ,LINEAS JOSE,Mexico,N
3284,Lineas Aereas del Humaya,Unknown,Unknown,UMA,HUMAYA,Mexico,N
3285,Linex,Unknown,Unknown,LEC,LECA,Central African Republic,N
3286,Linhas Aereas Santomenses,Unknown,Unknown,SMS,SANTOMENSES,S,N
3287,Linhas A,Unknown,LM,LAM,MOZAMBIQUE,Mozambique,Y
3288,Link Airways of Australia,Unknown,Unknown,LAW,Unknown,Australia,N
3289,Lion Air Services,Unknown,Unknown,WGT,WORLDGATE,United Kingdom,N
3290,Lion Mentari Airlines,Unknown,JT,LNI,LION INTER,Indonesia,Y
3291,Lions-Air,Unknown,Unknown,LEU,LIONSAIR,Switzerland,N
3292,Lithuanian Air Force,Unknown,Unknown,LYF,LITHUANIAN AIRFORCE,Lithuania,N
3293,Little Red Air Service,Unknown,Unknown,LRA,LITTLE RED,Canada,N
3294,Livingston,Unknown,LM,LVG,LIVINGSTON,Italy,N
3295,Lloyd Aereo Boliviano,Unknown,LB,LLB,LLOYDAEREO,Bolivia,N
3296,Lnair Air Services,Unknown,Unknown,LNA,ELNAIR,Spain,N
3297,Lockheed Air Terminal,Unknown,Unknown,XLG,Unknown,United States,N
3298,Lockeed Aircraft Corporation,Unknown,Unknown,LAC,LOCKHEED,United States,N
3299,Lockheed DUATS,Unknown,Unknown,XDD,Unknown,United States,N
3300,Lockheed Martin Aeronautics,Unknown,Unknown,CBD,CATBIRD,United States,N
3301,Lockheed Martin Aeronautics Company,Unknown,Unknown,LNG,LIGHTNING,United States,N
3302,Logan Air,Unknown,Unknown,LOG,LOGAN,United Kingdom,N
3303,Lom Praha Flying School,Unknown,Unknown,CLV,AEROTRAINING,Czech Republic,N
3304,Lomas Helicopters,Unknown,Unknown,LMS,LOMAS,United Kingdom,N
3305,London City Airport Jet Centre,Unknown,Unknown,LCY,LONDON CITY,United Kingdom,N
3306,London Executive Aviation,Unknown,Unknown,LNX,LONEX,United Kingdom,N
3307,London Flight Centre (Stansted),Unknown,Unknown,LOV,LOVEAIR,United Kingdom,N
3308,London Helicopter Centres,Unknown,Unknown,LHC,MUSTANG,United Kingdom,N
3309,Lone Star Airlines,Unknown,Unknown,LSS,LONE STAR,United States,N
3310,Long Island Airlines,Unknown,Unknown,ORA,LONG ISLAND,United States,N
3311,Longtail Aviation,Unknown,Unknown,LGT,LONGTAIL,Bermuda,N
3312,Lorraine Aviation,Unknown,Unknown,LRR,LORRAINE,France,N
3313,Los Cedros Aviacion,Unknown,Unknown,LSC,CEDROS,Chile,N
3314,Lotus Air,Unknown,Unknown,TAS,LOTUS FLOWER,Egypt,N
3315,Luchtvaartmaatschappij Twente,Unknown,Unknown,LTW,TWENTAIR,Netherlands,N
3316,Lucky Air,Unknown,Unknown,LKE,LUCKY AIR,China,N
3317,Luft Carago,Unknown,Unknown,LUT,LUGO,South Africa,N
3318,Luftfahrt-Vermietungs-Dienst,Unknown,Unknown,LVD,AIR SANTE,Austria,N
3319,Luftfahrtgesellschaft Walter,Unknown,HE,LGW,WALTER,Germany,Y
3320,Lufthansa,Unknown,LH,DLH,LUFTHANSA,Germany,Y
3321,Lufthansa Cargo,Unknown,LH,GEC,LUFTHANSA CARGO,Germany,Y
3322,Lufthansa CityLine,Unknown,CL,CLH,HANSALINE,Germany,Y
3323,Lufthansa Systems,Unknown,L1,Unknown,Unknown,Germany,N
3324,Lufthansa Technik,Unknown,Unknown,LHT,LUFTHANSA TECHNIK,Germany,N
3325,Lufttaxi Fluggesellschaft,Unknown,DV,LTF,Garfield,Germany,N
3326,Lufttransport,Unknown,L5,LTR,LUFT TRANSPORT,Norway,Y
3327,Luhansk,Unknown,Unknown,LHS,ENTERPRISE LUHANSK,Ukraine,N
3328,Lund University School of Aviation,Unknown,Unknown,UNY,UNIVERSITY,Sweden,N
3329,Luxair,Unknown,LG,LGL,LUXAIR,Luxembourg,Y
3330,Luxaviation,Unknown,Unknown,LXA,RED LION,Luxembourg,N
3331,Luxembourg Air Rescue,Unknown,Unknown,LUV,LUX RESCUE,Luxembourg,N
3332,Luxflight Executive,Unknown,Unknown,LFE,LUX EXPRESS,Luxembourg,N
3333,Luxor Air,Unknown,Unknown,LXO,Unknown,Egypt,N
3334,Luzair,Unknown,Unknown,LUZ,LISBON JET,Portugal,N
3335,Lviv Airlines,Unknown,5V,UKW,UKRAINE WEST,Ukraine,N
3336,Lydd Air,Unknown,Unknown,LYD,LYDDAIR,United Kingdom,N
3337,Lynch Flying Service,Unknown,Unknown,LCH,LYNCH AIR,United States,N
3338,Lynden Air Cargo,Unknown,L2,LYC,LYNDEN,United States,N
3339,Lynx Air International,Unknown,Unknown,LXF,LYNX FLIGHT,United States,N
3340,Lynx Aviation,Unknown,Unknown,LYX,LYNX AIR,Pakistan,N
3342,L,Unknown,MJ,LPR,LAPA,Argentina,Y
3343,L,Unknown,Unknown,LAU,SURAMERICANO,Colombia,N
3344,M & N Aviation,Unknown,Unknown,JNH,JONAH,United States,N
3345,MAC Fotografica,Unknown,Unknown,MCF,MAC FOTO,Spain,N
3346,MANAG'AIR,Unknown,Unknown,MRG,MANAG'AIR,France,N
3347,MAP-Management and Planung,Unknown,Unknown,MPJ,MAPJET,Austria,N
