airport_id,name,city,country,iata_code,icao_code,latitude,longitude,Altitude,timezone_offset,DST,time_zone_identifier,airport_type,geom
13376,Suzhou Railway Station,Suzhou,China,Unknown,SUZR,31.330556,120.606389,0,8,None,Unknown zone identifier,Unknown,POINT(120.606389 31.330556)
13377,Ammassivik Heliport,Ammassivik,Greenland,Unknown,BGAS,60.597376,-45.382445,71,-3,None,Unknown zone identifier,airport,POINT(-45.382445 60.597376)
13378,Eqalugaarsuit Heliport,Eqalugaarsuit,Greenland,QFG,BGET,60.6197196536,-45.9140619636,9,-3,None,Unknown zone identifier,airport,POINT(-45.9140619636 60.6197196536)
13379,Qassimiut Heliport,Qassimiut,Greenland,Unknown,BGQT,60.7809592284,-47.1562492847,29,-3,None,Unknown zone identifier,airport,POINT(-47.1562492847 60.7809592284)
13380,Tiniteqilaaq Heliport,Tiniteqilaaq,Greenland,Unknown,BGTN,65.8920273392,-37.7834093571,15,-3,None,Unknown zone identifier,airport,POINT(-37.7834093571 65.8920273392)
13381,Isortoq Heliport,Isortoq,Greenland,Unknown,BGIS,65.5477923903,-38.9765524864,92,-3,None,Unknown zone identifier,airport,POINT(-38.9765524864 65.5477923903)
13382,Kuummiut Heliport,Kuummiit,Greenland,Unknown,BGKM,65.8639347361,-36.9979190826,89,-3,None,Unknown zone identifier,airport,POINT(-36.9979190826 65.8639347361)
13383,Sermiligaaq Heliport,Sermiligaaq,Greenland,Unknown,BGSG,65.9059197626,-36.3782536983,33,-3,None,Unknown zone identifier,airport,POINT(-36.3782536983 65.9059197626)
13384,Ikerassaarsuk Heliport,Ikerasaarsuk,Greenland,QRY,BGIK,68.14088100629999,-53.4414589405,165,-3,None,Unknown zone identifier,airport,POINT(-53.4414589405 68.14088100629999)
13385,Illorsuit Heliport,Illorsuit,Greenland,Unknown,BGLL,71.2419440428,-53.5628771782,154,-3,None,Unknown zone identifier,airport,POINT(-53.5628771782 71.2419440428)
13386,Nuugaatsiaq Heliport,Nuugaatsiaq,Greenland,Unknown,BGNQ,71.5387687528,-53.2050383091,57,-3,None,Unknown zone identifier,airport,POINT(-53.2050383091 71.5387687528)
13387,Saattut Heliport,Saattut,Greenland,Unknown,BGST,70.8111719824,-51.6312897205,131,-3,None,Unknown zone identifier,airport,POINT(-51.6312897205 70.8111719824)
13388,Ikerasak Heliport,Ikerasak,Greenland,Unknown,BGIA,70.4981453548,-51.3030838966,66,-3,None,Unknown zone identifier,airport,POINT(-51.3030838966 70.4981453548)
13389,Niaqornat Heliport,Niaqornat,Greenland,Unknown,BGNT,70.7893846882,-53.6629450321,10,-3,None,Unknown zone identifier,airport,POINT(-53.6629450321 70.7893846882)
13390,Ukkusissat Heliport,Ukkusissat,Greenland,Unknown,BGUT,71.0494384946,-51.8900156021,223,-3,None,Unknown zone identifier,airport,POINT(-51.8900156021 71.0494384946)
13391,Moscow-Passazhirskaya Railway Station,Moscow,Russia,Unknown,MOLR,55.776111,37.655278,0,3,None,Unknown zone identifier,Unknown,POINT(37.655278 55.776111)
13392,Sheffield Station,Sheffield,United Kingdom,Unknown,Unknown,1.4624,53.3782,10,0,Europe,Unknown zone identifier,Unknown,POINT(53.3782 1.4624)
13393,Derby Station,Derby,United Kingdom,Unknown,Unknown,52.916131,-1.462965,10,0,Europe,Unknown zone identifier,Unknown,POINT(-1.462965 52.916131)
13394,Matlock Station,Matlock,United Kingdom,Unknown,Unknown,53.138133,-1.558632,10,0,Europe,Unknown zone identifier,Unknown,POINT(-1.558632 53.138133)
13395,Bourg-Saint-Maurice,Bourg-saint-maurice,France,Unknown,Unknown,45.6195737,6.769526,0,1,Europe,Unknown zone identifier,Unknown,POINT(6.769526 45.6195737)
13396,Gare de Sable Sur Sarthe,Sable sur Sarthe,France,Unknown,Unknown,47.8417754,-0.3441822,0,1,Europe,Unknown zone identifier,Unknown,POINT(-0.3441822 47.8417754)
13397,Olhos D`água Airport,Agua Boa,Brazil,Unknown,SWHP,-14.019444,-52.152222,1506,-4,South America,Unknown zone identifier,airport,POINT(-52.152222 -14.019444)
13398,Novo Progresso Airport,Novo Progresso,Brazil,NPR,SJNP,-7.125833,-55.400833,794,-3,South America,Unknown zone identifier,airport,POINT(-55.400833 -7.125833)
13399,Adolino Bedin Regional Airport,Sorriso,Brazil,SMT,SBSO,-12.479177,-55.672341,1266,-4,South America,Unknown zone identifier,airport,POINT(-55.672341 -12.479177)
